GENE	RA
DCLRE1B	1.5535e-21
TNFAIP3	5.9105e-21
AP4B1	1.2317e-19
TNPO3	1.6912e-17
MAGI3	6.4356e-17
CTLA4	7.8929e-17
BCL2L15	2.659e-16
OLFML3	3.8647e-16
IRF5	1.6252e-15
ANKRD55	1.7518e-15
COG6	2.0631e-15
PTPN22	3.9653e-15
SPRED2	5.4569e-15
HIPK1	7.1964e-15
IL2RA	1.3217e-14
PFKFB3	1.6326e-14
CD28	2.0899e-14
PTPN2	2.788e-14
ICOS	2.9298e-14
RBM17	4.7411e-14
FDX2	1.2817e-13
REL	1.4805e-13
ICAM3	2.1494e-13
RSBN1	3.7993e-13
TYK2	4.5676e-13
HSPA6	4.6547e-13
CDC37	9.0087e-13
RAVER1	9.6093e-13
ZGLP1	1.0705e-12
AFF3	1.1328e-12
STAT1	1.4474e-12
KCP	1.4967e-12
ICAM1	3.9644e-12
PDE4A	4.3129e-12
ICAM5	6.0389e-12
FCGR2A	8.8904e-12
DDX6	1.1065e-11
STAT4	1.526e-11
ICAM4	1.6918e-11
GATA3	1.9661e-11
PRKCQ	2.0425e-11
MRPL4	2.5757e-11
PLCL2	4.0596e-11
PHTF1	4.2394e-11
FGFR1OP	4.6266e-11
ARID5B	7.4603e-11
TMEM191C	8.6204e-11
TSPAN33	8.9119e-11
SYT6	1.0575e-10
RIMBP3C	2.353e-10
IL15RA	2.6096e-10
SNN	2.6912e-10
CXCR5	3.7509e-10
RASGRP1	3.7747e-10
GPR31	5.2629e-10
TRAF1	5.636e-10
CD40	7.475e-10
C5orf30	8.7484e-10
CDH22	1.0399e-09
KRI1	1.1081e-09
AP1M2	2.1611e-09
SYNGR1	2.3966e-09
FAM213B	2.4282e-09
NCOA5	2.439e-09
PAPOLG	2.6569e-09
RPS26	2.8118e-09
IRF8	2.8365e-09
TNFRSF14	2.9944e-09
S1PR5	3.0965e-09
RPL3	3.1329e-09
TAF3	3.3282e-09
SLC12A5	3.4771e-09
MMEL1	3.48e-09
ACTR2	3.6392e-09
STARD3	3.8616e-09
CCR6	3.9269e-09
PHF19	4.3896e-09
CDKN2D	4.7298e-09
TXNDC11	5.4206e-09
TCAP	5.503e-09
PEMT	5.6243e-09
ATG4D	5.9314e-09
NAB1	6.337e-09
PADI3	6.664e-09
PDCD1LG2	6.9082e-09
B4GALNT1	7.4269e-09
SLC26A10	1.1121e-08
PHETA1	1.1497e-08
PUS10	1.343e-08
PADI4	1.3448e-08
TNFSF4	1.4197e-08
PADI2	1.6483e-08
TMEM50B	1.7735e-08
BCL9L	1.9596e-08
PIP4K2C	1.9898e-08
KEAP1	2.2387e-08
LONRF2	2.2546e-08
CD274	2.6629e-08
ZC3H7A	2.7586e-08
ERBB3	2.7834e-08
PADI1	3.0408e-08
ARHGEF25	3.1012e-08
PSMD5	3.3858e-08
C15orf53	3.3905e-08
PHLDB1	3.4025e-08
MIEN1	3.4742e-08
PGAP3	3.6028e-08
TREH	3.6837e-08
IKZF3	3.7016e-08
IKZF4	3.7458e-08
CUX2	4.6404e-08
IFNGR2	4.8493e-08
SUOX	5.0972e-08
TXK	5.1475e-08
DTX3	5.4139e-08
C5	5.7204e-08
RSPH3	6.0819e-08
TAGAP	6.0961e-08
FLI1	6.4461e-08
KIF5A	6.7147e-08
CD5	6.8014e-08
OS9	8.1228e-08
PPP1R1B	8.7648e-08
PDGFB	9.0354e-08
URAD	9.3056e-08
FLT3	1.0646e-07
SDHB	1.1812e-07
PLGRKT	1.1963e-07
ZNF629	1.2169e-07
ICOSLG	1.231e-07
TSPAN31	1.2491e-07
HES5	1.2575e-07
IL12RB2	1.2964e-07
ETS1	1.3486e-07
SUGP1	1.398e-07
TDRD10	1.5028e-07
HAPLN4	1.536e-07
DGKA	1.5615e-07
DNMT3L	1.5774e-07
TAB1	1.5778e-07
CDK4	1.6303e-07
RAB5B	1.6699e-07
CASP10	1.7064e-07
NEUROD2	1.7345e-07
TTC34	1.7361e-07
PHKG2	1.7559e-07
SH2B3	1.8872e-07
TMEM265	1.893e-07
NDUFA13	1.8992e-07
GRB7	1.9606e-07
MAU2	1.9674e-07
SLC44A2	2.0147e-07
CCDC189	2.0243e-07
PADI6	2.0768e-07
SHE	2.2283e-07
TCP10L2	2.2793e-07
PPIP5K2	2.4028e-07
RNF40	2.6179e-07
CCL19	2.6593e-07
IL6R	2.7081e-07
ATP13A2	2.8277e-07
MARCH9	2.8644e-07
AGAP2	2.914e-07
FBRS	3.0079e-07
TM6SF2	3.6935e-07
TEC	3.8428e-07
VPS37C	4.3977e-07
SULT1A3	4.4601e-07
POLR3B	4.5027e-07
CCL21	5.0152e-07
ZPBP2	5.0168e-07
BOLA2	5.1701e-07
DNAJC28	5.2093e-07
SLX1A	5.3099e-07
ATP2A1	5.3404e-07
PA2G4	5.4276e-07
GATAD2A	5.5336e-07
FAM213A	5.5497e-07
GATD3A	5.7141e-07
ERBB2	5.8528e-07
CORO1A	6.1033e-07
ATXN2	6.398e-07
YJEFN3	6.598e-07
PYM1	6.775e-07
METTL1	6.939e-07
CDK2	7.0282e-07
SH2B1	7.2405e-07
PBX4	7.2641e-07
EBF1	7.3876e-07
ESYT1	7.8719e-07
GTF2I	7.9129e-07
PRR14	8.3015e-07
PSD4	8.3604e-07
CASP8	8.5138e-07
EEF1AKMT3	9.3545e-07
RPL41	9.4459e-07
CILP2	1.0168e-06
LYST	1.1054e-06
RHOH	1.1529e-06
FLNC	1.2628e-06
FRYL	1.266e-06
KLF2	1.3304e-06
MFAP2	1.3316e-06
UBE2Q1	1.3925e-06
CD19	1.4685e-06
SDCCAG8	1.5004e-06
TPD52L2	1.6265e-06
S1PR2	1.6837e-06
TSPAN14	1.7131e-06
PCYT1A	1.7155e-06
MMP9	1.7264e-06
FAM98B	1.819e-06
PTTG1	1.8976e-06
AIRE	1.9628e-06
GART	1.9829e-06
PPARG	1.9911e-06
PTPN11	2.0329e-06
FAM205A	2.0487e-06
RLN1	2.0511e-06
PANK4	2.0517e-06
RPL6	2.0759e-06
RIMBP3B	2.218e-06
EPHA10	2.264e-06
TUFM	2.3226e-06
IL23R	2.3302e-06
ZC3H10	2.3305e-06
RABEP2	2.3569e-06
ADAD1	2.4163e-06
WISP1	2.4561e-06
ATP6V1F	2.4565e-06
HIC2	2.5379e-06
DCTN2	2.5639e-06
KDM4B	2.6404e-06
C1orf122	2.6446e-06
ORMDL3	2.6839e-06
GSDMB	2.6909e-06
BCL2L11	2.6964e-06
RCC2	2.7203e-06
PTPRC	2.7792e-06
NCAN	2.8001e-06
INPP1	3.0394e-06
IL1RN	3.1167e-06
ZGPAT	3.1495e-06
TSFM	3.2052e-06
ZDHHC19	3.221e-06
TFF1	3.3739e-06
IGSF3	3.4378e-06
PLCL1	3.4505e-06
HMG20A	3.6109e-06
RBPJ	3.8086e-06
IL21	3.9649e-06
EOMES	4.0221e-06
NFATC2IP	4.3558e-06
ZAR1	4.4123e-06
UBE2L3	4.4936e-06
LRRC3C	4.722e-06
ABHD16B	4.8347e-06
SLC51A	5.089e-06
IL2	5.1019e-06
HOXA4	5.1551e-06
BLK	5.2245e-06
ZBTB46	5.3328e-06
CFLAR	5.355e-06
YRDC	5.3798e-06
CROCC	5.4103e-06
PGA3	5.7878e-06
MANEAL	5.9332e-06
CDX2	6.8434e-06
SLU7	6.9183e-06
HOXA3	6.9387e-06
ANTXR2	6.9781e-06
TNFSF18	7.2259e-06
HOXA5	7.2509e-06
ERP29	7.3388e-06
RTEL1	7.3816e-06
ZNF438	7.4117e-06
SLC10A4	7.6748e-06
HOXA6	7.7475e-06
TMEM116	7.8356e-06
GSDMA	7.9041e-06
RSPH1	7.9199e-06
FEN1	8.237e-06
HECTD4	8.2852e-06
FCMR	8.321e-06
MYL6B	8.9228e-06
DUSP22	8.9401e-06
TMEM258	9.5315e-06
FAM167A	9.6462e-06
ATXN2L	9.8366e-06
ACAD10	9.9479e-06
ACOXL	9.9558e-06
CEP170	1.0024e-05
LHFPL6	1.0237e-05
HOXA1	1.0238e-05
NPIPB9	1.0333e-05
NIPAL1	1.0431e-05
