GENE	RA
TNPO3	1.8475e-19
ANKRD55	1.6243e-16
CTLA4	1.9285e-16
MAGI3	2.1557e-16
PTPN2	1.296e-15
RBM17	2.4866e-15
SPRED2	2.7432e-15
IRF5	6.3681e-15
ZGLP1	5.9557e-14
ICOS	6.4961e-14
HIPK1	1.1172e-13
AP4B1	1.1913e-13
COG6	1.2124e-13
RAVER1	2.5147e-13
TNFAIP3	3.2238e-13
FDX2	5.1233e-13
REL	5.6518e-13
PHTF1	1.1404e-12
ICAM3	1.2772e-12
CCR6	2.8624e-12
HSPA6	3.1301e-12
IL2RA	3.987e-12
CD28	7.5433e-12
FCGR2A	8.1478e-12
GATA3	1.1995e-11
DDX6	1.5717e-11
TAGAP	2.1839e-11
AFF3	2.6006e-11
PRKCQ	3.1181e-11
STAT4	3.5269e-11
RSBN1	3.8534e-11
PLCL2	4.0509e-11
FCGR3A	6.1553e-11
TYK2	8.2653e-11
CD40	1.3001e-10
PTPN22	1.5825e-10
MMEL1	2.6235e-10
IFNGR2	3.1998e-10
C5orf30	3.2507e-10
NAB1	3.309e-10
BCL2L15	5e-10
DCLRE1B	5e-10
OLFML3	5e-10
PADI4	5.912e-10
NCOA5	6.5953e-10
ARID5B	9.8805e-10
ICAM5	1.1585e-09
UBE2L3	1.2063e-09
TXNDC11	1.3611e-09
SUOX	3.2155e-09
SYNGR1	3.8772e-09
RPL3	4.0248e-09
PFKFB3	4.1456e-09
PHF19	4.4639e-09
FAM213B	4.8596e-09
RIMBP3C	5.0262e-09
RAB5B	6.6305e-09
ERBB2	7.316e-09
TRAF1	7.938e-09
PMEL	8.1109e-09
CXCR5	1.0468e-08
CDK2	1.1749e-08
WISP1	1.3755e-08
STAT1	2.1745e-08
KCP	2.6362e-08
FLT3	3.1796e-08
CCDC116	3.2797e-08
ERBB3	3.5828e-08
FAM205A	3.6013e-08
RPL41	3.7877e-08
PLGRKT	3.9606e-08
ICAM1	4.3538e-08
ZC3H10	4.5476e-08
CD274	4.5992e-08
IKZF4	4.8088e-08
CILP2	5.1769e-08
B4GALNT1	5.683e-08
CCL21	6.3502e-08
SLC44A2	6.5181e-08
OS9	6.9833e-08
RASGRP1	7.8649e-08
ICAM4	9.4757e-08
PA2G4	9.857e-08
TM6SF2	1.1527e-07
IRF4	1.2325e-07
PUS10	1.2988e-07
HAPLN4	1.4135e-07
CCL19	1.4402e-07
PGAP3	1.4672e-07
SLC26A10	1.522e-07
YJEFN3	1.5466e-07
SHE	1.6819e-07
SUGP1	1.7481e-07
SNN	1.8279e-07
ZPBP2	2.1445e-07
CD2	2.2796e-07
AGAP2	2.3658e-07
GSDMB	2.4493e-07
RPS26	2.71e-07
UBASH3A	2.9649e-07
GATAD2A	3.0679e-07
KEAP1	3.1533e-07
TMEM50B	3.4176e-07
IL12RB2	3.5345e-07
ICOSLG	3.8223e-07
ARHGEF25	3.9939e-07
ETS1	4.2401e-07
CUX2	4.6877e-07
