GENE	UC
RNF186	8.1524e-19
IL23R	6.0564e-18
TMCO4	3.9889e-17
DNLZ	5.3186e-17
OTUD3	1.7042e-16
GSDMB	2.4284e-16
CARD9	2.9954e-16
STMN3	3.5379e-16
KIF21B	8.2391e-16
REL	1.2862e-15
IL10	1.7648e-15
SNAPC4	1.9404e-15
NKX2-3	3.5153e-15
IL12RB2	4.7497e-15
PEX13	8.3822e-15
AMT	1.3933e-14
SDCCAG3	1.9681e-14
GPSM1	1.9721e-14
HSPA6	2.0298e-14
C1orf106	2.4755e-14
ORMDL3	2.481e-14
GPX1	3.092e-14
JAK2	4.883e-14
SLC26A3	6.2917e-14
ARFRP1	8.9232e-14
GSDMA	9.0412e-14
GMEB2	1.01e-13
SEC16A	1.1996e-13
ZGPAT	1.4147e-13
FCGR2A	1.629e-13
IL19	2.5111e-13
RTEL1-TNFRSF6B	3.2714e-13
TCTA	5.3757e-13
HES5	9.3548e-13
TNFRSF14	9.9611e-13
TNFSF15	1.134e-12
C9orf163	1.6592e-12
FCGR3A	2.0701e-12
USP4	2.6021e-12
FAM213B	4.4094e-12
LAMB1	5.0385e-12
GPR35	6.4794e-12
RHOA	7.2923e-12
PUS10	7.4808e-12
IP6K2	8.0376e-12
RNF123	9.1202e-12
NCKIPSD	9.1929e-12
PANK4	1.1425e-11
STAT3	1.1712e-11
CELSR3	1.3642e-11
UQCRC1	1.4056e-11
PSMD3	2.3325e-11
NOTCH1	2.344e-11
C3orf62	3.5645e-11
C21orf33	4.9239e-11
MMEL1	5.0835e-11
SLC26A6	5.325e-11
FAM3A	6.5236e-11
TRAIP	6.5322e-11
SLC2A4RG	1.0145e-10
GMPPB	1.5635e-10
C11orf30	1.6392e-10
PSMG1	1.7286e-10
COL7A1	2.4027e-10
UBA7	2.4579e-10
IP6K1	2.5621e-10
KIAA1841	2.6631e-10
MST1R	3.6795e-10
RPL3	4.0098e-10
SYNGR1	4.0422e-10
FAM212A	4.1294e-10
NICN1	5e-10
DAG1	5e-10
APEH	5e-10
STAT5B	5e-10
IKZF3	5.0166e-10
GNA12	1.0116e-09
ZBTB46	1.0377e-09
ICOSLG	1.4946e-09
MON1A	1.5342e-09
QRICH1	2e-09
CSF3	2.8496e-09
NDUFAF3	3.2488e-09
RBM6	3.2698e-09
GRB7	3.6209e-09
RBM5	3.7348e-09
TPPP	4.4831e-09
PTRF	4.9756e-09
THRA	5.2762e-09
SLC35D1	6.5142e-09
IMPDH2	7.25e-09
MIEN1	8.4569e-09
DACT3	1.4738e-08
CEP72	1.4825e-08
STAT5A	1.6922e-08
SEMA3F	1.9001e-08
TTC34	2.4134e-08
PDGFB	2.427e-08
HELZ2	3.3774e-08
ZFP90	3.8431e-08
DALRD3	4.0961e-08
ANKMY1	4.9218e-08
PTGIR	7.734e-08
WDR6	1.0743e-07
USP34	1.1179e-07
TNFSF8	1.1318e-07
PRKCB	1.3932e-07
LMAN2	1.41e-07
UBLCP1	1.5194e-07
MTMR3	1.5256e-07
HOXA11	1.7537e-07
RGS14	1.84e-07
ERBB2	2.0155e-07
MAPKAPK2	2.341e-07
IRF5	2.3941e-07
ERRFI1	2.5238e-07
PRKAR2A	2.6718e-07
HOXA10	3.0776e-07
CAMSAP2	3.1713e-07
MAP3K8	3.2673e-07
SMARCE1	3.5717e-07
TOM1	3.5915e-07
C2orf74	3.7303e-07
TTPAL	3.8641e-07
GNG8	4.0559e-07
P4HTM	4.1447e-07
CD274	4.498e-07
SERBP1	4.6684e-07
ANKRD65	5.7535e-07
CAPN10	6.4825e-07
PTPN2	6.5753e-07
RORC	7.5776e-07
CCR7	8.2525e-07
CLN3	8.5857e-07
KLHDC8B	8.8144e-07
ATP6V0A1	8.8433e-07
HMGXB4	8.9073e-07
CCDC71	9.0882e-07
MRPL20	9.2389e-07
APOBR	9.4841e-07
CCDC101	9.8572e-07
MTX1	1.0193e-06
IFNG	1.0589e-06
PLGRKT	1.132e-06
HOXA13	1.1493e-06
THBS3	1.2105e-06
CLDN3	1.2834e-06
QARS	1.3526e-06
VWA1	1.4123e-06
KRTCAP2	1.4139e-06
CXCR2	1.4268e-06
TNFRSF9	1.5211e-06
LEF1	1.5486e-06
AHSA2	1.7003e-06
XPO1	1.72e-06
NR5A2	1.7597e-06
CLDN4	1.8207e-06
NUPR1	1.9408e-06
TRIM46	2.0274e-06
CCNL2	2.0961e-06
EXOC3	2.189e-06
PARK7	2.2361e-06
AHRR	2.2471e-06
KRT222	2.2792e-06
ZDHHC11B	2.4474e-06
WBSCR27	2.4567e-06
RABEP2	2.6324e-06
SHISA5	2.7739e-06
TRAF3IP2	2.8609e-06
NXPE1	2.8822e-06
ZNF300	2.9232e-06
NR1D1	3.1985e-06
C20orf195	3.3534e-06
ATAD3C	3.3706e-06
ABHD11	3.5067e-06
DAGLB	3.7545e-06
MXD3	3.8889e-06
LPP	3.8978e-06
KDELR2	3.9101e-06
CXCL5	3.9251e-06
GHDC	3.9878e-06
LPXN	4.0697e-06
ASCC2	4.119e-06
PSEN2	4.1745e-06
ZMAT5	4.3365e-06
ARIH2OS	4.4778e-06
CCRL2	4.8191e-06
CD19	4.8941e-06
ITGAL	4.8989e-06
KCP	5.1786e-06
SMAD3	5.2124e-06
SEPHS2	5.4026e-06
ATXN2L	5.6625e-06
FYB	5.6836e-06
TUFM	5.7873e-06
ZC3H12D	6.0405e-06
IL1R2	6.1643e-06
PGAP3	6.6e-06
FAM26E	6.8443e-06
SH2B1	6.9676e-06
SLC6A7	7.1627e-06
NFE2L3	7.5694e-06
SLC12A9	7.7176e-06
REV3L	8.0637e-06
EPHB4	8.261e-06
USP19	8.5955e-06
GPC1	8.9337e-06
TNPO3	9.2829e-06
SLC25A20	9.3196e-06
DPM3	9.4041e-06
ARIH2	9.5103e-06
TRAF3IP3	9.8137e-06
FAM220A	1.0179e-05
TRPS1	1.0411e-05
IRF1	1.0688e-05
TCAP	1.0984e-05
SCNN1D	1.1011e-05
SATB2	1.1116e-05
STARD3	1.1161e-05
NFATC2IP	1.1189e-05
PEMT	1.1766e-05
PDDC1	1.185e-05
SULT1A2	1.2238e-05
PF4	1.2475e-05
UQCR10	1.2638e-05
TDRKH	1.379e-05
C2CD4D	1.3891e-05
SUMO4	1.4112e-05
SELL	1.4387e-05
HOXA9	1.5022e-05
PFKFB4	1.5086e-05
ADCK3	1.5105e-05
SULT1A1	1.5268e-05
PLCG2	1.5588e-05
TNNI2	1.6279e-05
ARPC2	1.6468e-05
CALM3	1.671e-05
MIER1	1.6913e-05
IRF6	1.6942e-05
TMEM52	1.7171e-05
UBE2L3	1.7315e-05
GPBAR1	1.8248e-05
DCTPP1	1.8318e-05
LTF	1.9225e-05
OPRL1	1.9228e-05
AAMP	1.9405e-05
C1orf74	1.9611e-05
CEBPA	2.0017e-05
SMURF1	2.0448e-05
