GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     809993     914961    168      22  59957      0.15995      0.43646
26155        1     844583     944679    242      31  59957      0.29864      0.38261
339451       1     845967     936099    218      29  59957      0.28697      0.38707
84069        1     851872     945488    228      30  59957      0.38705      0.34936
84808        1     875579     967473    259      23  59957      0.46933      0.31942
9636         1     898847     984920    274      23  59957      0.88372      0.18842
57801        1     899342     986608    287      26  59957      0.87794      0.18999
375790       1     905503    1026499    397      36  59957      0.66065      0.25442
401934       1     972126    1059687    315      35  59957      0.33701      0.36805
54991        1     982198    1101736    468      46  59957     -0.28558       0.6124
254173       1    1059286    1168315    538      48  59957       1.9173     0.027598
8784         1    1103888    1192163    435      31  59957       2.5654    0.0051528
7293         1    1111706    1199703    415      29  59957       2.6681    0.0038135
51150        1    1117288    1217447    461      33  59957       3.3004   0.00048277
126792       1    1117629    1205421    401      24  59957       2.6414    0.0041288
388581       1    1142826    1232102    385      30  59957       3.8409   6.1303e-05
118424       1    1154292    1259234    407      35  59957       4.0617   2.4361e-05
6339         1    1165816    1262409    323      31  59957       4.2433   1.1011e-05
116983       1    1192764    1293304    320      27  59957       3.4935   0.00023833
126789       1    1193962    1282057    290      26  59957        3.568   0.00017984
80772        1    1210136    1299276    306      27  59957       3.7516    8.785e-05
54973        1    1211965    1310067    354      28  59957       3.9669   3.6408e-05
83756        1    1216726    1304844    297      25  59957       3.7015   0.00010718
1855         1    1235658    1334509    327      20  59957       3.8477   5.9625e-05
54587        1    1253071    1347183    333      20  59957       4.0126   3.0028e-05
54998        1    1274110    1360818    323      19  59957       4.2615   1.0152e-05
81669        1    1286091    1384718    369      24  59957       4.6016   2.0961e-06
55052        1    1302276    1392693    333      24  59957       4.7694   9.2389e-07
643965       1    1311508    1398167    307      27  59957       4.6582   1.5953e-06
441869       1    1318800    1406824    303      31  59957       4.8639   5.7535e-07
64856        1    1320903    1413262    311      30  59957       4.6832   1.4123e-06
219293       1    1328152    1440538    419      38  59957       4.5017   3.3706e-06
83858        1    1357139    1479852    467      37  59957         3.92   4.4273e-05
55210        1    1397523    1505067    382      32  59957       3.5562   0.00018814
339453       1    1435158    1525740    327      26  59957        3.254   0.00056895
29101        1    1442053    1560262    323      26  59957       3.1526   0.00080918
643988       1    1498388    1585476    119      18  59957       2.4871    0.0064394
142678       1    1500795    1600990    118      18  59957        2.433    0.0074881
8510         1    1517060    1605030     44      12  59957      0.63242      0.26355
984          1    1536100    1640473     65      11  59957       1.2063      0.11384
728661       1    1556486    1674243    150      17  59957       1.0933      0.13713
728642       1    1598822    1705999    227      25  59957       2.5236    0.0058087
9906         1    1621277    1727438    228      25  59957       2.7964    0.0025836
65220        1    1647671    1761508    251      30  59957       3.2234    0.0006335
2782         1    1681725    1872552    419      28  59957       4.0862   2.1928e-05
163688       1    1796266    1883733    253      18  59957       4.1999   1.3351e-05
339456       1    1814029    1900740    272      20  59957       4.1426   1.7171e-05
85452        1    1818390    1985276    524      47  59957       4.3017   8.4741e-06
2563         1    1900768    1997192    309      42  59957       2.2922     0.010946
5590         1    1931909    2151834    705      62  59957      0.54682      0.29225
100506504    1    2078250    2165812    245      38  59957      -0.6867      0.75386
199990       1    2080899    2194159    335      41  59957     -0.87527      0.80929
6497         1    2110134    2276652    595      84  59957      0.23321       0.4078
79906        1    2216719    2373190    690      99  59957       1.4187     0.077992
11079        1    2273214    2371883    428      75  59957       1.2733      0.10146
5192         1    2301241    2394010    403      76  59957       1.5671     0.058548
9651         1    2357754    2471964    486      71  59957       4.6713   1.4967e-06
55229        1    2404975    2508061    367      41  59957       6.6865   1.1425e-11
388585       1    2425184    2511684    311      35  59957       7.0438   9.3548e-13
8764         1    2437291    2530268    346      34  59957        7.035   9.9611e-13
127281       1    2467899    2557908    330      23  59957       6.8246   4.4094e-12
79258        1    2487078    2614499    341      22  59957       6.4644   5.0835e-11
100287898    1    2537807    2756230    403      30  59957       5.4576   2.4134e-08
140625       1    2888046    2974467    410      24  59957       1.8225     0.034193
63976        1    2935565    3390185   2078     208  59957      0.84799      0.19822
27237        1    3321147    3432677    457      50  59957      0.95789      0.16906
1953         1    3369506    3578059    863     104  59957      0.46602       0.3206
127262       1    3491556    3581695    389      54  59957     -0.49023      0.68801
49856        1    3512331    3616671    416      63  59957     -0.88051      0.81071
7161         1    3519129    3687765    654      90  59957     -0.30015      0.61797
148870       1    3618965    3723209    481      67  59957     0.095568      0.46193
388588       1    3639352    3727546    422      51  59957      0.15458      0.43858
57470        1    3661784    3763068    562      37  59957     -0.12639      0.55029
9731         1    3693645    3823797    801      39  59957     -0.13044      0.55189
