GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     809993     914961    230      26  97173      -0.6712      0.74895
26155        1     844583     944679    296      29  97173    -0.070868      0.52825
339451       1     845967     936099    273      28  97173     -0.23978      0.59475
84069        1     851872     945488    280      29  97173     0.003364      0.49866
84808        1     875579     967473    291      25  97173      0.44803      0.32707
9636         1     898847     984920    277      20  97173      0.47634      0.31692
57801        1     899342     986608    285      21  97173      0.46869      0.31965
375790       1     905503    1026499    363      24  97173         0.33       0.3707
401934       1     972126    1059687    297      25  97173     -0.55269      0.70976
54991        1     982198    1101736    385      29  97173     -0.17965      0.57129
254173       1    1059286    1168315    438      40  97173        1.789     0.036806
8784         1    1103888    1192163    409      23  97173       1.8716     0.030628
7293         1    1111706    1199703    399      24  97173       1.8768      0.03027
51150        1    1117288    1217447    440      24  97173        2.147     0.015895
126792       1    1117629    1205421    386      21  97173       1.8098     0.035165
388581       1    1142826    1232102    344      22  97173       2.5081    0.0060685
118424       1    1154292    1259234    355      23  97173       2.6204    0.0043911
6339         1    1165816    1262409    278      21  97173       2.8416    0.0022446
116983       1    1192764    1293304    249      20  97173       2.7172    0.0032921
126789       1    1193962    1282057    220      19  97173       2.7871    0.0026588
80772        1    1210136    1299276    233      18  97173       2.3551    0.0092593
54973        1    1211965    1310067    293      18  97173        2.128     0.016669
83756        1    1216726    1304844    244      18  97173       1.9716     0.024328
1855         1    1235658    1334509    278      13  97173       1.4255      0.07701
54587        1    1253071    1347183    280      13  97173       1.4165     0.078321
54998        1    1274110    1360818    279      13  97173       1.2949      0.09767
81669        1    1286091    1384718    290      14  97173       1.0398      0.14921
55052        1    1302276    1392693    226      16  97173       1.0042      0.15764
643965       1    1311508    1398167    165      12  97173       1.2593      0.10395
441869       1    1318800    1406824    139      11  97173        1.302     0.096458
64856        1    1320903    1413262    135      11  97173       1.3229     0.092936
219293       1    1328152    1440538    148      14  97173       1.2925     0.098099
83858        1    1357139    1479852    201      19  97173     -0.86831      0.80739
55210        1    1397523    1505067    199      16  97173     -0.80779      0.79039
339453       1    1435158    1525740    244      17  97173     -0.62792      0.73497
29101        1    1442053    1560262    240      18  97173     -0.65466      0.74366
643988       1    1498388    1585476     79       7  97173     -0.19293      0.57649
142678       1    1500795    1600990     78       7  97173     -0.17768      0.57051
8510         1    1517060    1605030     17       2  97173      -1.1311      0.87099
984          1    1536100    1640473     37       3  97173      0.50926      0.30528
728661       1    1556486    1674243     74       5  97173        1.084      0.13918
728642       1    1598822    1705999    129       8  97173       2.3056     0.010565
9906         1    1621277    1727438    126       7  97173        2.577    0.0049825
65220        1    1647671    1761508    145       9  97173       2.7362    0.0031074
2782         1    1681725    1872552    312      12  97173       3.3261   0.00044034
163688       1    1796266    1883733    224      14  97173       2.9606    0.0015351
339456       1    1814029    1900740    265      15  97173       2.5788    0.0049578
85452        1    1818390    1985276    483      34  97173       1.8749     0.030401
2563         1    1900768    1997192    265      27  97173      -1.2095      0.88677
5590         1    1931909    2151834    700      52  97173     -0.28607      0.61259
100506504    1    2078250    2165812    249      35  97173      0.73726      0.23048
199990       1    2080899    2194159    340      37  97173      0.90405      0.18298
6497         1    2110134    2276652    625      80  97173       2.3139     0.010335
79906        1    2216719    2373190    761      96  97173       1.5148     0.064906
11079        1    2273214    2371883    475      82  97173      -1.5801      0.94296
5192         1    2301241    2394010    435      80  97173      -2.4779      0.99339
9651         1    2357754    2471964    537      61  97173      0.89361      0.18576
55229        1    2404975    2508061    406      47  97173       2.8462    0.0022123
388585       1    2425184    2511684    338      36  97173       3.1119   0.00092933
8764         1    2437291    2530268    375      36  97173       4.6054   2.0587e-06
127281       1    2467899    2557908    354      22  97173       5.7356   4.8596e-09
79258        1    2487078    2614499    402      23  97173       6.2115   2.6235e-10
100287898    1    2537807    2756230    769      29  97173       4.6244    1.878e-06
140625       1    2888046    2974467    456      24  97173     -0.20396      0.58081
63976        1    2935565    3390185   2332     224  97173     -0.60293      0.72672
