GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
148398       1     759993     979961    526      42  97173      0.31292      0.37717
26155        1     779583     994679    551      44  97173      0.13063      0.44804
339451       1     795967    1001099    543      42  97173     0.074464      0.47032
84069        1     801872    1010488    552      40  97173     0.039261      0.48434
84808        1     810579    1017473    549      39  97173    -0.097377      0.53879
57801        1     834342    1036608    583      43  97173     -0.14998      0.55961
9636         1     848847    1049920    609      44  97173     -0.25244      0.59965
375790       1     855503    1091499    732      53  97173     -0.15765      0.56263
401934       1     907126    1109687    646      40  97173      0.22158      0.41232
54991        1     917198    1151736    816      56  97173       1.1742      0.12016
254173       1    1009286    1233315    848      54  97173       2.3463    0.0094795
8784         1    1038888    1242163    777      48  97173       2.5334     0.005648
7293         1    1046706    1249703    754      49  97173       2.6601    0.0039055
51150        1    1052288    1267447    764      48  97173       2.6644    0.0038567
126792       1    1067629    1270421    686      42  97173       2.6023    0.0046298
388581       1    1077826    1282102    687      40  97173       2.6832    0.0036459
118424       1    1089292    1309234    791      39  97173       2.6371    0.0041811
6339         1    1115816    1327409    757      31  97173       2.3437    0.0095457
116983       1    1127764    1343304    716      31  97173       2.4325    0.0074975
126789       1    1143962    1347057    664      28  97173       2.3381    0.0096908
54973        1    1146965    1360067    693      27  97173       2.2148     0.013385
80772        1    1160136    1364276    640      26  97173        2.212     0.013484
83756        1    1166726    1369844    603      24  97173       2.3006     0.010706
1855         1    1170658    1384509    606      25  97173       2.2623     0.011838
54587        1    1188071    1397183    537      21  97173       2.2546     0.012079
54998        1    1209110    1410818    485      23  97173        1.913     0.027877
81669        1    1221091    1434718    433      18  97173       1.6317     0.051374
55052        1    1237276    1442693    418      19  97173       1.4347     0.075691
441869       1    1253800    1456824    435      22  97173       1.1983       0.1154
643965       1    1261508    1463167    437      23  97173       1.0664      0.14313
64856        1    1270903    1478262    465      25  97173      0.81362      0.20793
219293       1    1278152    1505538    505      25  97173      0.61375      0.26969
83858        1    1307139    1544852    447      28  97173      0.47777      0.31641
55210        1    1347523    1570067    346      21  97173     -0.25787      0.60174
339453       1    1370158    1575740    282      17  97173     -0.75718      0.77553
29101        1    1377053    1610262    274      16  97173      -0.6986       0.7576
643988       1    1433388    1635476    291      18  97173     -0.66319       0.7464
142678       1    1450795    1665990    254      18  97173     -0.39288       0.6528
8510         1    1467060    1670030    209      20  97173    -0.053421       0.5213
984          1    1471100    1690473    236      22  97173       1.1691      0.12119
728661       1    1491486    1724243    234      21  97173       2.2699     0.011608
728642       1    1533822    1755999    178      12  97173       2.5636    0.0051803
9906         1    1556277    1777438    204      13  97173       2.7278    0.0031879
65220        1    1582671    1811508    241      15  97173       2.8492    0.0021916
2782         1    1616725    1922552    582      19  97173       2.7879    0.0026525
163688       1    1746266    1948733    503      24  97173       2.6153    0.0044575
339456       1    1749029    1950740    505      24  97173         2.59    0.0047985
85452        1    1753390    2035276    759      44  97173       2.1008     0.017829
2563         1    1850768    2062192    759      56  97173      0.72219      0.23509
5590         1    1881909    2216834   1124      77  97173     -0.21198      0.58394
100506504    1    2013250    2215812    713      48  97173      0.40388      0.34315
199990       1    2015899    2244159    833      67  97173       1.0954      0.13668
6497         1    2060134    2341652   1090     107  97173       1.8055     0.035501
79906        1    2151719    2423190   1238     150  97173       1.2293      0.10947
11079        1    2223214    2436883   1025     123  97173       1.3191      0.09356
5192         1    2236241    2444010   1002     119  97173      0.97729      0.16421
9651         1    2307754    2536964   1005      98  97173       4.0428   2.6408e-05
55229        1    2339975    2558061    954      85  97173       4.6061   2.0517e-06
388585       1    2360184    2561684    863      70  97173       5.1566   1.2575e-07
8764         1    2387291    2595268    836      59  97173       5.8171   2.9944e-09
127281       1    2417899    2622908    779      43  97173        5.852   2.4282e-09
79258        1    2422078    2664499    958      43  97173       5.7919     3.48e-09
100287898    1    2472807    2806230   1243      41  97173       5.0958   1.7361e-07
140625       1    2838046    3039467   1003      81  97173      0.42754      0.33449
63976        1    2885565    3455185   2904     228  97173     -0.33418      0.63088
27237        1    3271147    3497677   1075     121  97173       1.2006      0.11496
1953         1    3304506    3628059   1511     158  97173       1.8609     0.031377
